2025-03-27 04:35:04 [INFO]: Request: GET /admins/providers?page=1&search=&filter=All | Response: 304 | Duration: 80ms
2025-03-27 04:35:06 [INFO]: Request: GET /admins/approvals?page=1 | Response: 304 | Duration: 79ms
2025-03-27 04:35:07 [INFO]: Request: GET /admins/reports?page=1 | Response: 200 | Duration: 80ms
2025-03-27 04:35:08 [INFO]: Request: GET /admins/sign-out | Response: 304 | Duration: 1ms
2025-03-27 04:37:47 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
2025-03-27 04:37:53 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 43ms
2025-03-27 04:37:53 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 74ms
2025-03-27 04:39:29 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 401 | Duration: 2ms
2025-03-27 04:39:29 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
2025-03-27 04:39:30 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 5ms
2025-03-27 04:39:30 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 75ms
2025-03-27 04:39:32 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 40ms
2025-03-27 04:39:32 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 75ms
2025-03-27 04:39:50 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 39ms
2025-03-27 04:39:50 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 77ms
2025-03-27 04:40:32 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 58ms
2025-03-27 04:40:32 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 106ms
2025-03-27 04:40:41 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
2025-03-27 04:40:41 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 76ms
2025-03-27 04:40:42 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 40ms
2025-03-27 04:40:42 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 77ms
2025-03-27 04:40:50 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 37ms
2025-03-27 04:40:50 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 74ms
2025-03-27 04:40:57 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 40ms
2025-03-27 04:40:57 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 91ms
2025-03-27 04:41:22 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 113ms
2025-03-27 04:41:24 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
2025-03-27 04:46:21 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 401 | Duration: 2ms
2025-03-27 04:46:21 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 4ms
2025-03-27 04:46:21 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 117ms
2025-03-27 04:47:25 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 111ms
2025-03-27 04:51:30 [INFO]: Request: POST /admins/sign-in | Response: 200 | Duration: 176ms
2025-03-27 04:51:30 [INFO]: Request: GET /admins/revenue?period=monthly | Response: 304 | Duration: 40ms
2025-03-27 04:51:30 [INFO]: Request: GET /admins/dashboard | Response: 304 | Duration: 131ms
2025-03-27 04:51:42 [INFO]: Request: GET /admins/revenue?period=weekly | Response: 304 | Duration: 40ms
2025-03-27 04:51:42 [INFO]: Request: GET /admins/revenue?period=yearly | Response: 304 | Duration: 40ms
2025-03-27 04:51:43 [INFO]: Request: GET /admins/revenue?period=weekly | Response: 304 | Duration: 39ms
2025-03-27 04:51:47 [INFO]: Request: GET /admins/revenue?period=monthly | Response: 304 | Duration: 40ms
2025-03-27 04:51:48 [INFO]: Request: GET /admins/revenue?period=yearly | Response: 304 | Duration: 41ms
2025-03-27 04:51:49 [INFO]: Request: GET /admins/revenue?period=monthly | Response: 304 | Duration: 39ms
2025-03-27 04:53:29 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 64ms
2025-03-27 04:53:30 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 401 | Duration: 5ms
2025-03-27 04:53:30 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 8ms
2025-03-27 04:53:30 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 138ms
2025-03-27 04:53:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 90ms
2025-03-27 04:53:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 123ms
2025-03-27 04:54:43 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 200 | Duration: 83ms
2025-03-27 04:54:44 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 111ms
2025-03-27 04:57:10 [INFO]: Request: GET /admins/sign-out | Response: 304 | Duration: 2ms
2025-03-27 04:57:37 [INFO]: Request: POST /providers/sign-in | Response: 200 | Duration: 124ms
2025-03-27 04:57:37 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 46ms
2025-03-27 04:57:37 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/profile | Response: 304 | Duration: 72ms
2025-03-27 04:57:45 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/dashboard?revenueBy=monthly&hoursBy=daily | Response: 304 | Duration: 80ms
2025-03-27 04:57:48 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 40ms
2025-03-27 04:57:48 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/profile | Response: 304 | Duration: 90ms
2025-03-27 04:57:48 [WARN]: Request: GET /providers/67c979a26650975a0ea51294/schedules?date=2025-03-26 | Response: 404 | Duration: 89ms
2025-03-27 04:57:49 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 133ms
2025-03-27 04:57:55 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 39ms
2025-03-27 04:57:55 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/profile | Response: 304 | Duration: 88ms
2025-03-27 04:58:01 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 44ms
2025-03-27 04:58:02 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 46ms
2025-03-27 04:58:04 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications?page=1 | Response: 304 | Duration: 132ms
2025-03-27 04:58:05 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 130ms
2025-03-27 04:58:06 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 137ms
2025-03-27 05:02:35 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 401 | Duration: 2ms
2025-03-27 05:02:35 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 6ms
2025-03-27 05:02:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 134ms
2025-03-27 05:02:36 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 134ms
2025-03-27 05:02:39 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 142ms
2025-03-27 05:02:40 [WARN]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 401 | Duration: 3ms
2025-03-27 05:02:40 [INFO]: Request: POST /providers/refresh-token | Response: 200 | Duration: 4ms
2025-03-27 05:02:40 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 134ms
2025-03-27 05:03:01 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 132ms
2025-03-27 05:03:02 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 135ms
2025-03-27 05:44:15 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 401 | Duration: 1ms
2025-03-27 05:44:15 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 8ms
2025-03-27 05:44:15 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 130ms
2025-03-27 05:44:15 [WARN]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 401 | Duration: 1ms
2025-03-27 05:44:15 [INFO]: Request: POST /providers/refresh-token | Response: 200 | Duration: 3ms
2025-03-27 05:44:15 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 132ms
2025-03-27 05:44:18 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 44ms
2025-03-27 05:44:19 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 155ms
2025-03-27 05:44:23 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 42ms
2025-03-27 05:44:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 131ms
2025-03-27 05:45:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 89ms
2025-03-27 05:45:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 107ms
2025-03-27 05:52:34 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 401 | Duration: 3ms
2025-03-27 05:52:34 [WARN]: Request: GET /providers/67c979a26650975a0ea51294/notifications/count | Response: 401 | Duration: 3ms
2025-03-27 05:52:34 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 401 | Duration: 3ms
2025-03-27 05:52:34 [WARN]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 401 | Duration: 1ms
2025-03-27 05:52:34 [INFO]: Request: POST /providers/refresh-token | Response: 200 | Duration: 6ms
2025-03-27 05:52:34 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 5ms
2025-03-27 05:52:34 [INFO]: Request: POST /providers/refresh-token | Response: 200 | Duration: 3ms
2025-03-27 05:52:34 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 4ms
2025-03-27 05:52:34 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/notifications/count | Response: 200 | Duration: 73ms
2025-03-27 05:52:34 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 87ms
2025-03-27 05:52:34 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 106ms
2025-03-27 05:52:34 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 116ms
2025-03-27 05:53:08 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 121ms
2025-03-27 05:53:08 [INFO]: Request: GET /providers/67c979a26650975a0ea51294/bookings?page=1 | Response: 304 | Duration: 118ms
